"","munic","Processado","Status"
"641","4314787","Sim","CAR encontrado"
"642","4314779","Sim","CAR encontrado"
"643","4314753","Sim","CAR encontrado"
"644","4314704","Sim","CAR encontrado"
"645","4314605","Sim","CAR encontrado"
"646","4314555","Sim","CAR encontrado"
"647","4314548","Sim","CAR NÃo encontrado"
"648","4314506","Sim","CAR encontrado"
"649","4314498","Sim","CAR encontrado"
"650","4314472","Sim","CAR encontrado"
"651","4314464","Sim","CAR encontrado"
"652","4314456","Sim","CAR encontrado"
"653","4314423","Sim","CAR encontrado"
"654","4314407","Sim","CAR encontrado"
"655","4314308","Sim","CAR encontrado"
"656","4314209","Sim","CAR encontrado"
"657","4314175","Sim","CAR encontrado"
"658","4314159","Sim","CAR encontrado"
"659","4314134","Sim","CAR encontrado"
"660","4314100","Sim","CAR encontrado"
"661","4314076","Sim","CAR encontrado"
"662","4314068","Sim","CAR encontrado"
"663","4314050","Sim","CAR encontrado"
"664","4314035","Sim","CAR encontrado"
"665","4314027","Sim","CAR encontrado"
"666","4314001","Sim","CAR encontrado"
"667","4313953","Sim","CAR encontrado"
"668","4313904","Sim","CAR encontrado"
"669","4313805","Sim","CAR encontrado"
"670","4313706","Sim","CAR encontrado"
"671","4313656","Sim","CAR encontrado"
"672","4313607","Sim","CAR encontrado"
"673","4313508","Sim","CAR encontrado"
"674","4313466","Sim","CAR encontrado"
"675","4313441","Sim","CAR encontrado"
"676","4313425","Sim","CAR encontrado"
"677","4313409","Sim","CAR encontrado"
"678","4313391","Sim","CAR encontrado"
"679","4313490","Sim","CAR encontrado"
"680","4313375","Sim","CAR encontrado"
"681","4313359","Sim","CAR encontrado"
"682","4313334","Sim","CAR encontrado"
"683","4313300","Sim","CAR encontrado"
"684","4313201","Sim","CAR encontrado"
"685","4313102","Sim","CAR encontrado"
"686","4313086","Sim","CAR encontrado"
"687","4313060","Sim","CAR encontrado"
"688","4313037","Sim","CAR encontrado"
"689","4313011","Sim","CAR encontrado"
"690","4313003","Sim","CAR encontrado"
"691","4312955","Sim","CAR encontrado"
"692","4312906","Sim","CAR encontrado"
"693","4312807","Sim","CAR encontrado"
"694","4312757","Sim","CAR encontrado"
"695","4312708","Sim","CAR encontrado"
"696","4312674","Sim","CAR encontrado"
"697","4312658","Sim","CAR encontrado"
