"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Formacao Savanica","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Pastagem","Area Urbanizada","Silvicultura","Outras Lavouras Temporarias","Rio, Lago e Oceano","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Fomacao Campestre","Afloramento"
"83","SP-3553708-46D3951E4B6B4BC28D0C86ADB71FBBD5","SP",3553708,"2021",2.17,1.9,0.03,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","SP-3553708-49A3269AAE35408995F4486D1409FA51","SP",3553708,"2021",2.61,0,0.27,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","SP-3553708-4D4F4BD089884FD8A4758EBA38D34892","SP",3553708,"2021",0.31,0.27,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","SP-3553708-522501587CD0421493464ECA36E4D84A","SP",3553708,"2021",10.8,3.85,1.09,4.13,0,1.63,0,0,0,0,0,0,0,0.1,0,0,0,0
"87","SP-3553708-57B0C9FFD15243E1AE7E4E422B59A16E","SP",3553708,"2021",3.43,1.05,0.07,0.89,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0
"88","SP-3553708-5DC28721E7B04CEBB4175DC5087BF35C","SP",3553708,"2021",4.95,4.2,0.13,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","SP-3553708-5E108273477444EF9128DBEC6D97197D","SP",3553708,"2021",0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","SP-3553708-5F2E87B8ABE847618C1AF8E982479ED6","SP",3553708,"2021",4.3,1.95,0.33,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","SP-3553708-625354A6D1C147BBAA351A2653D2A5C3","SP",3553708,"2021",0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","SP-3553708-63B9D7B6A988411A8A8F3BA1744F0F60","SP",3553708,"2021",0.07,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","SP-3553708-641F8D880A6B4EE6B9640F07EEC9E7BB","SP",3553708,"2021",4.27,1.88,0,0.78,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0
"94","SP-3553708-698776D9448F42078AAEB1C6B3D2504A","SP",3553708,"2021",21.09,10.47,0.85,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","SP-3553708-698EB422A8304A3BBB200E882CD4E989","SP",3553708,"2021",4.71,2.95,0.1,1.03,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0
"96","SP-3553708-6B4E5206FDA74D9CBFA961CFF31B2F04","SP",3553708,"2021",0.18,0.05,0.01,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","SP-3553708-6E81B98218E0424585F91CBD1C2640B7","SP",3553708,"2021",23.42,19.34,0.29,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","SP-3553708-717729B507BA42D2BEF1919C06A84931","SP",3553708,"2021",2.05,1.75,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","SP-3553708-75EB43DF11594E7A96F4561A8FDDABB7","SP",3553708,"2021",41.13,23.8,2.44,13.24,0,1.64,0,0,0,0.01,0,0,0,0,0,0,0,0
"100","SP-3553708-7653BD924236459B8C47BC58F98EFCE5","SP",3553708,"2021",24.83,20.47,1.18,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","SP-3553708-76A7B4F9D99549C78E7AC67B53BB2B3C","SP",3553708,"2021",0.02,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","SP-3553708-7AFAC93FC67E4174A523FD5E935CEACA","SP",3553708,"2021",4.38,2.37,0.04,1.34,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0
"103","SP-3553708-7D52337EDE6547CCBB4D3C1265DACB2A","SP",3553708,"2021",18.29,15.8,0.27,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","SP-3553708-7FE74DBE05434D2AAC66BB501684048D","SP",3553708,"2021",0.82,0.54,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","SP-3553708-8AD9E86E75D84315AE9FED048812FC8B","SP",3553708,"2021",5.83,5.46,0.15,0.08,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
"106","SP-3553708-91969BC01A48412787C2C5625EEB6D11","SP",3553708,"2021",2.71,2.02,0.39,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","SP-3553708-92A63A0F23334E10B312AEA000572D36","SP",3553708,"2021",0.19,0.18,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","SP-3553708-943E0C267F964F54AADC0BC1416CFC51","SP",3553708,"2021",21.36,3.23,0.65,16.42,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
"109","SP-3553708-9532B608710B440F82A6945FB640B3C8","SP",3553708,"2021",6.2,3.17,0.2,2.28,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
"110","SP-3553708-956D327273BE4502890E643A62057863","SP",3553708,"2021",13.79,0.17,0.66,11.51,0,0.77,0,0,0,0.67,0,0,0,0,0,0,0,0
"111","SP-3553708-961C4C023C78407B9A4EE1ABFB57BAB0","SP",3553708,"2021",0.55,0.49,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","SP-3553708-9DC8985142A648019A6BDC3360DAAFC4","SP",3553708,"2021",1.8,0.93,0.05,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","SP-3553708-9E3FDF045ABD4CB9A9071E2DD3FE81D5","SP",3553708,"2021",27.07,17.03,1.43,7.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0
"114","SP-3553708-9F44D94F5C9C43FF95D95829823A8659","SP",3553708,"2021",0.7,0.3,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","SP-3553708-A30BD8178E844312998C630E9F4D1A30","SP",3553708,"2021",4.85,4.34,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","SP-3553708-A5F673725E0E431C9E43B22FEB045E2C","SP",3553708,"2021",4.32,2.45,0.12,1.6,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0
"117","SP-3553708-A683C1419B744985B282D80959EA1326","SP",3553708,"2021",5.53,2.44,1.4,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","SP-3553708-A6B57DD155A84AA5819D41E870D13D1A","SP",3553708,"2021",0.21,0.16,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","SP-3553708-A9D6B4F756BB45919EA7C9756FFB254D","SP",3553708,"2021",0.58,0.42,0.1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","SP-3553708-AA34AC59851D4B71BE2127B0FDFAF724","SP",3553708,"2021",0,0,34.25,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","SP-3553708-AA3E7655C01A41699C9164A87DD1644A","SP",3553708,"2021",4.68,3.54,0.18,0.95,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
"122","SP-3553708-AEB716FA958445A28AEED88BC5A58BC7","SP",3553708,"2021",0.69,0.66,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","SP-3553708-AFDBC8C90F67414281CCC0A811177C53","SP",3553708,"2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","SP-3553708-B293A84CD7214658B7E556112DD90B1C","SP",3553708,"2021",0,0,20.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","SP-3553708-B30E6113597D48EA8EBCA56924CD630C","SP",3553708,"2021",1.86,1.65,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","SP-3553708-B3B40607D9EC47B39A585035D516A560","SP",3553708,"2021",36.1,8.49,0.08,26.46,0,0.76,0,0,0,0,0.3,0,0,0,0,0,0,0
"127","SP-3553708-B6CB9C346B1A49769E52BC44C7D921DD","SP",3553708,"2021",13.41,6.67,1.66,4.62,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0
"128","SP-3553708-BD3F48A4FBFE4C488F6022B9C36F7DC1","SP",3553708,"2021",1.05,0.39,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
