"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Pastagem","Area Urbanizada","Silvicultura","Outras Lavouras Temporarias","Rio, Lago e Oceano","Fomacao Campestre","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Afloramento"
"44","SP-3546504-17316620B58E4D9A804E41102F4433F8","SP",3546504,"2020",2.17,0.52,0,0.03,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","SP-3546504-6EB6A453EEE24B7985BC522A0F0E5263","SP",3546504,"2020",0,0,0,29.85,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","SP-3546504-B94FB8D88D6B49C994D16BAB866E6567","SP",3546504,"2020",1.23,0,0,0.1,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","SP-3546504-FFEDB04F349B452AAED6CDB1F18A0AD3","SP",3546504,"2020",0,0,0,19.44,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","SP-3547502-55E0E2928C6042439DD9F30820431BAA","SP",3547502,"2020",0.63,0.36,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","SP-3552601-C14D91A2A6E546A89928041173C30A01","SP",3552601,"2020",5.57,0.11,0,0,2.56,0,0,0,0,2.9,0,0,0,0,0,0,0,0
"50","SP-3552700-E4D0C8F26C234432A308F245268B367B","SP",3552700,"2020",2.39,1.09,0,0.11,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","SP-3553203-7758C310E68943F68BFF6E34A3CC369B","SP",3553203,"2020",0.31,0,0,0,0.17,0.14,0,0,0,0,0,0,0,0,0,0,0,0
"52","SP-3553203-D7550D3273A445459C0CA1CC9F01DC82","SP",3553203,"2020",21.64,4.42,0,0.63,14.02,1.87,0,0,0,0.41,0,0,0,0.3,0,0,0,0
"53","SP-3553203-E702888E159D45FDB83877FF261E2B77","SP",3553203,"2020",10.32,9.53,0,0.5,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","SP-3553401-37712E2C1B0E40B898C3E8FD406A0C5B","SP",3553401,"2020",27.33,20.48,0,0,4.8,1.38,0,0,0,0.67,0,0,0,0,0,0,0,0
"55","SP-3553401-B6EFB97DDA6649898BC55B296A3CB982","SP",3553401,"2020",146.56,63.12,0,7.24,70.29,2.89,0,0,0,3.01,0,0,0,0,0,0,0,0
"56","SP-3553401-C2F5B34A04294D2D8E414980BC2B2888","SP",3553401,"2020",87.79,49.68,0,0.49,12.39,23.73,0,0,0,1.51,0,0,0,0,0,0,0,0
"57","SP-3553708-0363D6D4AE3A4CF5834FC4B14EB2FD19","SP",3553708,"2020",0.43,0.14,0,0,0.05,0.24,0,0,0,0,0,0,0,0,0,0,0,0
"58","SP-3553708-03B5C2A8CCD847408C3652DFC08FBE62","SP",3553708,"2020",2.43,1.74,0,0.29,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","SP-3553708-062438BB75E243F88F13F8CD61F84035","SP",3553708,"2020",2.81,0.64,0,0.1,1.42,0.65,0,0,0,0,0,0,0,0,0,0,0,0
"60","SP-3553708-072CF0C8240D4A7994DF49E41713C12B","SP",3553708,"2020",3.03,3.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","SP-3553708-07B0F70D204C4F5CAF94D3D3A65B80DC","SP",3553708,"2020",0,0,0,7.85,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","SP-3553708-0858FA9FDFB0409EA92DDE3863FA14D1","SP",3553708,"2020",9.73,7.57,0,0.39,1.31,0.47,0,0,0,0,0,0,0,0,0,0,0,0
"63","SP-3553708-08989150066A43F0A2B153E45E9CB678","SP",3553708,"2020",0,2.33,0,12.82,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","SP-3553708-08F4112E61274728B7E28D4DD2C492B7","SP",3553708,"2020",21.44,16.15,0,0.72,2.12,2.18,0,0,0,0,0,0,0.27,0,0,0,0,0
"65","SP-3553708-091EAB10770A48328E6C7B9AA8156DF2","SP",3553708,"2020",4.53,0,0,0.07,1.25,2.78,0,0,0,0,0,0,0.42,0,0,0,0,0
"66","SP-3553708-0A9DF8059DA24D809F05F551C8381534","SP",3553708,"2020",0,2.62,0,10.74,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","SP-3553708-0B8611F8492B4FBE9F4919FD2B4CCCFB","SP",3553708,"2020",10.07,4.55,0,0.74,4.37,0.15,0,0,0,0,0,0,0.26,0.01,0,0,0,0
"68","SP-3553708-0CD642AFEAB8483FA6531F2D4F185ED8","SP",3553708,"2020",36.68,29.87,0,0.68,4.4,1.41,0,0,0,0,0,0,0.32,0,0,0,0,0
"69","SP-3553708-0D4F4186682E4B17BB2F3FFFDF818E8D","SP",3553708,"2020",0,0.72,0,17.6,17.6,0,8.96,0,0,0,0.17,0,0,0,0,0,0,0
"70","SP-3553708-144DADAAEE994AFA80B69844A8BA9D76","SP",3553708,"2020",0,0,0,6.58,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","SP-3553708-1FF6E8317DC84083AB0B4FADBF078A89","SP",3553708,"2020",2.9,1.16,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","SP-3553708-2363162A99F549EB95F8BDA41D6C4C41","SP",3553708,"2020",5.87,2.51,0,0.41,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","SP-3553708-26DB381602EF46B78D04BDCED4CCF582","SP",3553708,"2020",0,0,0,43.15,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","SP-3553708-27B4910CA6074CA387637A8086A4B195","SP",3553708,"2020",0,0,0,36.24,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","SP-3553708-2847AE9800F147A58CC6658A2275C5A5","SP",3553708,"2020",0.03,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","SP-3553708-303FC9048EC44024BAF59200A6A2AA07","SP",3553708,"2020",7.63,3.3,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","SP-3553708-3231B91193B3460C979D63AF8CABCC5A","SP",3553708,"2020",5.57,4.98,0,0.02,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","SP-3553708-3A1DE70ECFE64191B6D4A8D8C9026536","SP",3553708,"2020",0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","SP-3553708-3CB6F6CB2CC74B658B8220A88406C647","SP",3553708,"2020",3.67,0.88,0,0,0.87,1.92,0,0,0,0,0,0,0,0,0,0,0,0
"80","SP-3553708-3F8DFC2C49614B768D2A3D8021299A0C","SP",3553708,"2020",0.32,0.14,0,0,0.05,0.13,0,0,0,0,0,0,0,0,0,0,0,0
"81","SP-3553708-4389915C37424AF6A21D3FBF1B6D2D40","SP",3553708,"2020",0,0,0,43.99,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","SP-3553708-46CEAA409E334438AF72207E838E8D6E","SP",3553708,"2020",0.04,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","SP-3553708-46D3951E4B6B4BC28D0C86ADB71FBBD5","SP",3553708,"2020",2.17,1.9,0,0.03,0.21,0.02,0,0,0,0,0,0,0,0,0,0,0,0
"84","SP-3553708-49A3269AAE35408995F4486D1409FA51","SP",3553708,"2020",2.61,0,0,0.27,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","SP-3553708-4D4F4BD089884FD8A4758EBA38D34892","SP",3553708,"2020",0.31,0.27,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","SP-3553708-522501587CD0421493464ECA36E4D84A","SP",3553708,"2020",10.8,3.85,0,0.74,4.07,1.65,0,0,0,0,0,0,0.41,0.08,0,0,0,0
"87","SP-3553708-57B0C9FFD15243E1AE7E4E422B59A16E","SP",3553708,"2020",3.43,1.21,0,0.07,0.89,1.26,0,0,0,0,0,0,0,0,0,0,0,0
"88","SP-3553708-5DC28721E7B04CEBB4175DC5087BF35C","SP",3553708,"2020",4.95,4.2,0,0.13,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","SP-3553708-5E108273477444EF9128DBEC6D97197D","SP",3553708,"2020",0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","SP-3553708-5F2E87B8ABE847618C1AF8E982479ED6","SP",3553708,"2020",4.3,1.95,0,0.33,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","SP-3553708-625354A6D1C147BBAA351A2653D2A5C3","SP",3553708,"2020",0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","SP-3553708-63B9D7B6A988411A8A8F3BA1744F0F60","SP",3553708,"2020",0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","SP-3553708-641F8D880A6B4EE6B9640F07EEC9E7BB","SP",3553708,"2020",4.27,1.88,0,0,0.78,1.62,0,0,0,0,0,0,0,0,0,0,0,0
"94","SP-3553708-698776D9448F42078AAEB1C6B3D2504A","SP",3553708,"2020",21.09,10.64,0,0.85,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","SP-3553708-698EB422A8304A3BBB200E882CD4E989","SP",3553708,"2020",4.71,2.95,0,0.1,1.03,0.62,0,0,0,0,0,0,0,0,0,0,0,0
"96","SP-3553708-6B4E5206FDA74D9CBFA961CFF31B2F04","SP",3553708,"2020",0.18,0.05,0,0.01,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","SP-3553708-6E81B98218E0424585F91CBD1C2640B7","SP",3553708,"2020",23.42,19.39,0,0.29,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","SP-3553708-717729B507BA42D2BEF1919C06A84931","SP",3553708,"2020",2.05,1.75,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","SP-3553708-75EB43DF11594E7A96F4561A8FDDABB7","SP",3553708,"2020",41.13,23.52,0,2.44,13.43,1.73,0,0,0,0.01,0,0,0,0,0,0,0,0
"100","SP-3553708-7653BD924236459B8C47BC58F98EFCE5","SP",3553708,"2020",24.83,20.47,0,1.18,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","SP-3553708-76A7B4F9D99549C78E7AC67B53BB2B3C","SP",3553708,"2020",0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","SP-3553708-7AFAC93FC67E4174A523FD5E935CEACA","SP",3553708,"2020",4.38,2.37,0,0.04,1.34,0.64,0,0,0,0,0,0,0,0,0,0,0,0
"103","SP-3553708-7D52337EDE6547CCBB4D3C1265DACB2A","SP",3553708,"2020",18.29,15.8,0,0.27,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","SP-3553708-7FE74DBE05434D2AAC66BB501684048D","SP",3553708,"2020",0.82,0.54,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","SP-3553708-8AD9E86E75D84315AE9FED048812FC8B","SP",3553708,"2020",5.83,5.47,0,0.15,0.08,0.13,0,0,0,0,0,0,0,0,0,0,0,0
"106","SP-3553708-91969BC01A48412787C2C5625EEB6D11","SP",3553708,"2020",2.71,2.02,0,0.39,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","SP-3553708-92A63A0F23334E10B312AEA000572D36","SP",3553708,"2020",0.19,0.18,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","SP-3553708-943E0C267F964F54AADC0BC1416CFC51","SP",3553708,"2020",21.36,4.45,0,0.65,14.93,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"109","SP-3553708-9532B608710B440F82A6945FB640B3C8","SP",3553708,"2020",6.2,3.39,0,0.21,2.04,0.55,0,0,0,0.02,0,0,0,0,0,0,0,0
"110","SP-3553708-956D327273BE4502890E643A62057863","SP",3553708,"2020",13.79,0.17,0,0.49,11.52,0.85,0,0,0,0.75,0,0,0,0,0,0,0,0
"111","SP-3553708-961C4C023C78407B9A4EE1ABFB57BAB0","SP",3553708,"2020",0.55,0.49,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","SP-3553708-9DC8985142A648019A6BDC3360DAAFC4","SP",3553708,"2020",1.8,0.93,0,0.05,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","SP-3553708-9E3FDF045ABD4CB9A9071E2DD3FE81D5","SP",3553708,"2020",27.07,16.99,0,1.43,7.85,0.81,0,0,0,0,0,0,0,0,0,0,0,0
"114","SP-3553708-9F44D94F5C9C43FF95D95829823A8659","SP",3553708,"2020",0.7,0.3,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","SP-3553708-A30BD8178E844312998C630E9F4D1A30","SP",3553708,"2020",4.85,4.34,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","SP-3553708-A5F673725E0E431C9E43B22FEB045E2C","SP",3553708,"2020",4.32,2.45,0,0.12,1.6,0.15,0,0,0,0,0,0,0,0,0,0,0,0
"117","SP-3553708-A683C1419B744985B282D80959EA1326","SP",3553708,"2020",5.53,2.44,0,1.4,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","SP-3553708-A6B57DD155A84AA5819D41E870D13D1A","SP",3553708,"2020",0.21,0.16,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
