"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Campo Alagado e Area Pantanosa","Café","Citrus","Soja","Pastagem","Area Urbanizada","Outras Lavouras Temporarias","Rio, Lago e Oceano","Fomacao Campestre","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Silvicultura","Afloramento"
"75","SP-3553708-2847AE9800F147A58CC6658A2275C5A5","SP",3553708,"2018",0.03,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","SP-3553708-303FC9048EC44024BAF59200A6A2AA07","SP",3553708,"2018",7.63,3.37,0,0,4.06,0.21,0,0,0,0,0,0,0,0,0,0,0,0
"77","SP-3553708-3231B91193B3460C979D63AF8CABCC5A","SP",3553708,"2018",5.57,4.9,0,0.02,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","SP-3553708-3A1DE70ECFE64191B6D4A8D8C9026536","SP",3553708,"2018",0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","SP-3553708-3CB6F6CB2CC74B658B8220A88406C647","SP",3553708,"2018",3.67,0.88,0,0,0.87,1.92,0,0,0,0,0,0,0,0,0,0,0,0
"80","SP-3553708-3F8DFC2C49614B768D2A3D8021299A0C","SP",3553708,"2018",0.32,0.14,0,0,0.05,0.13,0,0,0,0,0,0,0,0,0,0,0,0
"81","SP-3553708-4389915C37424AF6A21D3FBF1B6D2D40","SP",3553708,"2018",0,0,0,44.29,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","SP-3553708-46CEAA409E334438AF72207E838E8D6E","SP",3553708,"2018",0.04,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","SP-3553708-46D3951E4B6B4BC28D0C86ADB71FBBD5","SP",3553708,"2018",2.17,1.85,0,0.03,0.26,0.02,0,0,0,0,0,0,0,0,0,0,0,0
"84","SP-3553708-49A3269AAE35408995F4486D1409FA51","SP",3553708,"2018",2.61,0,0,0.33,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","SP-3553708-4D4F4BD089884FD8A4758EBA38D34892","SP",3553708,"2018",0.31,0.27,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","SP-3553708-522501587CD0421493464ECA36E4D84A","SP",3553708,"2018",10.8,3.85,0,0.72,3.87,1.49,0,0,0,0,0,0.8,0.08,0,0,0,0,0
"87","SP-3553708-57B0C9FFD15243E1AE7E4E422B59A16E","SP",3553708,"2018",3.43,1.21,0,0.07,0.97,1.18,0,0,0,0,0,0,0,0,0,0,0,0
