"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Cana-de-Acucar","Outras Lavouras Temporarias","Soja","Fomacao Campestre","Café","Citrus","Silvicultura","Area Urbanizada"
"55","SP-3505609-7A1BD2D0BCC648AFACDFE6419EEB8BA2","SP",3505609,"2012",93.85,0,0,0,0,1.09,0,0.19,91.98,0.58,0,0,0,0,0,0
"56","SP-3505609-DBB12C3C0B98414C9B581A1C1C19CA3B","SP",3505609,"2012",121.02,3.41,0,13.57,0,9.37,1.34,1.74,85.3,5.73,0.42,0,0,0,0,0
"57","SP-3505609-E1A757307CC44C67AB8BAEC0ACFA5A18","SP",3505609,"2012",74.23,0,0,0,0,0.51,0,0,73.72,0,0,0,0,0,0,0
"58","SP-3510104-77729E533B1C404C887B08A33DC16D13","SP",3510104,"2012",120.69,1.7,0,0,0,4.21,0,0,114.65,0.13,0,0,0,0,0,0
"59","SP-3510708-10E4AD3602954083867326F1AF2D0D35","SP",3510708,"2012",33.22,0,0,0.77,4.58,2.85,0,0,25.02,0,0,0,0,0,0,0
"60","SP-3510708-5FA2AF2250644624A5FA6C6C30B6421E","SP",3510708,"2012",96.81,11.95,0,6.46,2.97,14.16,0,0,61.27,0,0,0,0,0,0,0
"61","SP-3512001-F45998EAA14042DDA440DC271FF228BC","SP",3512001,"2012",175.23,0.39,0,4.46,0,15.77,0,0,154.44,0,0,0,0,0,0,0.17
"62","SP-3514007-B66C8FCCCC7E4493A5B40502B6BEC627","SP",3514007,"2012",726.22,27.42,0,2.92,4.42,36.06,0.67,0,653.64,1.1,0,0,0,0,0,0
"63","SP-3514007-D09EB46840C24FC9B12F5C39C495707C","SP",3514007,"2012",270.35,15.59,0,0.67,0,10.5,0,0,243.55,0.04,0,0,0,0,0,0
"64","SP-3514601-11A7677D96A843A9847710F011126CE0","SP",3514601,"2012",22.28,0,0,0,0,1.64,0,0,20.65,0,0,0,0,0,0,0
"65","SP-3514601-28EB3D2FF85940FEAD2B28FEE6F9F9C9","SP",3514601,"2012",93.02,0,0,0.11,0,0.52,0,0,92.32,0.06,0,0,0,0,0,0
"66","SP-3518602-06C22ADABA4C42D9A7D0E3130F943869","SP",3518602,"2012",646.27,42.7,0,10.94,4.42,80.46,0.67,0.39,500.19,3.59,2.92,0,0,0,0,0
"67","SP-3518602-57FFF6E3A38B47B3979ED422D9637683","SP",3518602,"2012",174.04,0,0,4.91,2.83,8.16,0.28,0,157.66,0.2,0,0,0,0,0,0
"68","SP-3518602-748DAA41686A4614B52CDBC091FC1C00","SP",3518602,"2012",100.83,9.14,0,1.49,0,6.74,0,0,83.04,0.42,0,0,0,0,0,0
"69","SP-3518602-81734FC125D7481A88B862DF1D04DE15","SP",3518602,"2012",519.27,24.31,0,36.47,0,15.68,0,0.59,408.66,0.46,33.1,0,0,0,0,0
"70","SP-3518602-86BC2C7EFEF146E29C8674243E2C4D9A","SP",3518602,"2012",382.97,17.01,0,0.05,0,18.33,0,0,347.48,0.1,0,0,0,0,0,0
"71","SP-3518602-8B3A6161519A44FEA5303BA48F4D1A7B","SP",3518602,"2012",439.45,5.81,0,6.11,0,36.68,0,0,355.87,1.37,33.61,0,0,0,0,0
"72","SP-3518602-A6B30ADC4EE04E9EAA0925E2AA6DE956","SP",3518602,"2012",507.95,12.06,0,2.53,7.42,47.52,0,0,406.63,3.1,28.68,0,0,0,0,0
"73","SP-3518602-B5EAD3959D3B4FD18C7171A20CC2F4C8","SP",3518602,"2012",122.47,0.42,0,0,0,4.46,0,0,115.76,0,1.83,0,0,0,0,0
"74","SP-3518602-F476144FD55E4A22B9A170593786DC8F","SP",3518602,"2012",219.18,5.67,0,0,1,12.83,0,0,199.17,0.5,0,0,0,0,0,0
"75","SP-3518859-40FA7CD0173340A1BB2183E96B33BA8C","SP",3518859,"2012",512.85,59.64,0,23.03,0,22.32,0,0.5,404.85,2.5,0,0,0,0,0,0
"76","SP-3521903-76C1E7D3340547CBA5822B0C071BA51E","SP",3521903,"2012",323.53,3.17,0,7.74,0.52,39.99,0,0,272.11,0,0,0,0,0,0,0
"77","SP-3521903-B5C1D5D919494A468180C84FE4B26CC7","SP",3521903,"2012",182.82,5.2,0,1.78,0,18.73,0,0,157.05,0.06,0,0,0,0,0,0
"78","SP-3521903-BA9A0D49AD1E4F8E90188416817A5DC2","SP",3521903,"2012",294.23,24.73,0,0,0,15.15,0,0,254.14,0.2,0,0,0,0,0,0
"79","SP-3521903-E00526DDA4BA4D31BF90F8449B7E9941","SP",3521903,"2012",103.26,3.33,0,4.34,0.01,17.24,0,0,78.33,0,0,0,0,0,0,0
"80","SP-3521903-E107AA621BC84815B6EED997D01010E8","SP",3521903,"2012",22.53,0,0,0.62,0.07,3.38,0,0,18.46,0,0,0,0,0,0,0
"81","SP-3522703-4744A99A90614109A09FBA291D6A206A","SP",3522703,"2012",1758.17,218.16,0,33.22,0,118.56,0,0,1363.3,1.77,23.18,0,0,0,0,0
"82","SP-3522703-D63E157FE78345B89EC2098A7334BDBD","SP",3522703,"2012",109.1,8.84,0,0.67,11.21,30.66,0,0,57.72,0,0,0,0,0,0,0
"83","SP-3524204-2BF66C8B164B499D8F010053E0860443","SP",3524204,"2012",360.4,12.45,0,7.71,0,3.25,0,0,336.54,0.45,0,0,0,0,0,0
"84","SP-3524303-03046467329F40E3BD3DFC1A739DB165","SP",3524303,"2012",60.73,0,0,0.07,0,2.65,0,0,58.01,0,0,0,0,0,0,0
"85","SP-3524303-0DC942AABD574146A51CD1A38C3B9070","SP",3524303,"2012",22.26,0,0,0,0.01,7.42,0,0,14.84,0,0,0,0,0,0,0
