"","fcar","uf","munic","year","app_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Rio, Lago e Oceano","Cana-de-Acucar","Soja","Outras Lavouras Temporarias","Fomacao Campestre","Café","Citrus","Outras Areas nao Vegetadas","Area Urbanizada"
"81","SP-3522703-4744A99A90614109A09FBA291D6A206A","SP",3522703,"2021",116.4,63.47,0,16.9,0,26.3,0,9.06,0,0.67,0,0,0,0,0
"82","SP-3522703-D63E157FE78345B89EC2098A7334BDBD","SP",3522703,"2021",0,2.17,0,0,0.08,9.96,0,84.48,10.99,1.42,0,0,0,0,0
"83","SP-3524204-2BF66C8B164B499D8F010053E0860443","SP",3524204,"2021",12.99,6.64,0,1.93,0,0.92,0,3.23,0,0.27,0,0,0,0,0
"84","SP-3524303-03046467329F40E3BD3DFC1A739DB165","SP",3524303,"2021",1.51,0,0,0.14,0,1.38,0,0,0,0,0,0,0,0,0
"85","SP-3524303-0DC942AABD574146A51CD1A38C3B9070","SP",3524303,"2021",0,0,0,0,0,7.38,0,11.6,3.25,0.05,0,0,0,0,0
"86","SP-3524303-118775A2CCDD4FBE94C84767AFF917A8","SP",3524303,"2021",17.16,13.59,0,0.79,0,1.17,1.01,0.53,0,0.08,0,0,0,0,0
"87","SP-3524303-1739C594B4F540C59AF7B47ADBB2D62D","SP",3524303,"2021",70.22,49.93,0,17.13,0,0.98,1.13,0.31,0,0.13,0,0,0,0,0
"88","SP-3524303-21656AD4FE944F7CB66011E4418F4187","SP",3524303,"2021",10.39,6.66,0,0.5,0,3.19,0,0.03,0,0,0,0,0,0,0
"89","SP-3524303-244BE86A3253482D851098B4D30F836D","SP",3524303,"2021",13.47,6.05,0,1.7,0,5.02,0,0.55,0,0.15,0,0,0,0,0
"90","SP-3524303-2805984E47D8413EA1F7FEED4A0C84DE","SP",3524303,"2021",0.99,0.07,0,0.91,0,0.01,0,0,0,0,0,0,0,0,0
"91","SP-3524303-45EABA24951149768D24A6F8C9E5BA8A","SP",3524303,"2021",8.87,5.86,0,0.16,0,2.61,0,0.24,0,0,0,0,0,0,0
"92","SP-3524303-4BF2884CA53D40CD816BC459457BC020","SP",3524303,"2021",4.61,3.88,0,0.56,0,0.15,0,0.03,0,0,0,0,0,0,0
"93","SP-3524303-577FC36D359E4056801675249F938706","SP",3524303,"2021",0,0,0,0,0,0,0,16.73,0,0,0,0,0,0,0
"94","SP-3524303-733F23B337C949A4B6314BBA22BD73A4","SP",3524303,"2021",0,0,0,0,0,0.13,0,19.37,0,0,0,0,0,0,0
"95","SP-3524303-7719C63514204FAA8BE3E4E773DD4B26","SP",3524303,"2021",2.28,0,0,0,0,2.04,0,0.24,0,0,0,0,0,0,0
"96","SP-3524303-7A7AD6C4FA144A09B9066F7638202E55","SP",3524303,"2021",6.02,1.48,0,0.34,0,2.65,0,1.04,0,0.5,0,0,0,0,0
"97","SP-3524303-7F899BC4BF434FC29BCD16956D775084","SP",3524303,"2021",8.4,0,0,1.04,0.23,6.95,0.05,0.13,0,0,0,0,0,0,0
"98","SP-3524303-825FAA66535C4771B3AE7DEBCB03FA43","SP",3524303,"2021",0,0,0,0,0,2.73,0,27.97,0,0.16,0,0,0,0,0
"99","SP-3524303-8DC097BB871E49BCAFEEDD4DAAFDBB1E","SP",3524303,"2021",3.95,1.37,0,0,0,2.05,0,0.38,0,0.15,0,0,0,0,0
"100","SP-3524303-A4204348BA434E28ADC4E0BAB626B251","SP",3524303,"2021",7.73,0,0,2.58,0.22,4.93,0,0,0,0,0,0,0,0,0
"101","SP-3524303-A7682ED563804138AF6A3F96D16FA05F","SP",3524303,"2021",1.24,0,0,0.33,0,0.74,0,0.17,0,0,0,0,0,0,0
"102","SP-3524303-AE1D25E0508C42BABADC23B3F41E9363","SP",3524303,"2021",0,0,0,0,0,0,0,65.36,0,0,0,0,0,0,0
