,NUMREGCAR,uf,munic,fcar
47,SP35032083DFC0A34B4F8483AAE28367E2FECDA63,SP,3503208,SP-3503208-3DFC0A34B4F8483AAE28367E2FECDA63
48,SP3503208465915E18C4940B4842D2476CA3E6E49,SP,3503208,SP-3503208-465915E18C4940B4842D2476CA3E6E49
49,SP35032086484191647DD4DD4ADC439A286968CF6,SP,3503208,SP-3503208-6484191647DD4DD4ADC439A286968CF6
50,SP3503208882E576E5E32403BB5925FCCFD66E04A,SP,3503208,SP-3503208-882E576E5E32403BB5925FCCFD66E04A
51,SP3503208A287FFAF8AB2407C89A3BF512820FD30,SP,3503208,SP-3503208-A287FFAF8AB2407C89A3BF512820FD30
52,SP3503208C75616B7833E4963B2FE16DC4AE895EA,SP,3503208,SP-3503208-C75616B7833E4963B2FE16DC4AE895EA
53,SP3505500086D12B4474F4D0C90B881E850AD68A8,SP,3505500,SP-3505500-086D12B4474F4D0C90B881E850AD68A8
54,SP35056097A1BD2D0BCC648AFACDFE6419EEB8BA2,SP,3505609,SP-3505609-7A1BD2D0BCC648AFACDFE6419EEB8BA2
55,SP3505609DBB12C3C0B98414C9B581A1C1C19CA3B,SP,3505609,SP-3505609-DBB12C3C0B98414C9B581A1C1C19CA3B
56,SP3505609E1A757307CC44C67AB8BAEC0ACFA5A18,SP,3505609,SP-3505609-E1A757307CC44C67AB8BAEC0ACFA5A18
57,SP351010477729E533B1C404C887B08A33DC16D13,SP,3510104,SP-3510104-77729E533B1C404C887B08A33DC16D13
58,SP351070810E4AD3602954083867326F1AF2D0D35,SP,3510708,SP-3510708-10E4AD3602954083867326F1AF2D0D35
59,SP35107085FA2AF2250644624A5FA6C6C30B6421E,SP,3510708,SP-3510708-5FA2AF2250644624A5FA6C6C30B6421E
60,SP3512001F45998EAA14042DDA440DC271FF228BC,SP,3512001,SP-3512001-F45998EAA14042DDA440DC271FF228BC
61,SP3514007B66C8FCCCC7E4493A5B40502B6BEC627,SP,3514007,SP-3514007-B66C8FCCCC7E4493A5B40502B6BEC627
62,SP3514007D09EB46840C24FC9B12F5C39C495707C,SP,3514007,SP-3514007-D09EB46840C24FC9B12F5C39C495707C
63,SP351460111A7677D96A843A9847710F011126CE0,SP,3514601,SP-3514601-11A7677D96A843A9847710F011126CE0
64,SP351460128EB3D2FF85940FEAD2B28FEE6F9F9C9,SP,3514601,SP-3514601-28EB3D2FF85940FEAD2B28FEE6F9F9C9
65,SP351860206C22ADABA4C42D9A7D0E3130F943869,SP,3518602,SP-3518602-06C22ADABA4C42D9A7D0E3130F943869
66,SP351860257FFF6E3A38B47B3979ED422D9637683,SP,3518602,SP-3518602-57FFF6E3A38B47B3979ED422D9637683
67,SP3518602748DAA41686A4614B52CDBC091FC1C00,SP,3518602,SP-3518602-748DAA41686A4614B52CDBC091FC1C00
68,SP351860281734FC125D7481A88B862DF1D04DE15,SP,3518602,SP-3518602-81734FC125D7481A88B862DF1D04DE15
69,SP351860286BC2C7EFEF146E29C8674243E2C4D9A,SP,3518602,SP-3518602-86BC2C7EFEF146E29C8674243E2C4D9A
70,SP35186028B3A6161519A44FEA5303BA48F4D1A7B,SP,3518602,SP-3518602-8B3A6161519A44FEA5303BA48F4D1A7B
71,SP3518602A6B30ADC4EE04E9EAA0925E2AA6DE956,SP,3518602,SP-3518602-A6B30ADC4EE04E9EAA0925E2AA6DE956
72,SP3518602B5EAD3959D3B4FD18C7171A20CC2F4C8,SP,3518602,SP-3518602-B5EAD3959D3B4FD18C7171A20CC2F4C8
73,SP3518602F476144FD55E4A22B9A170593786DC8F,SP,3518602,SP-3518602-F476144FD55E4A22B9A170593786DC8F
74,SP351885940FA7CD0173340A1BB2183E96B33BA8C,SP,3518859,SP-3518859-40FA7CD0173340A1BB2183E96B33BA8C
