,NUMREGCAR,Count,uf,munic,fcar
68,SP3505609DBB12C3C0B98414C9B581A1C1C19CA3B,1,SP,3505609,SP-3505609-DBB12C3C0B98414C9B581A1C1C19CA3B
69,SP3505609E1A757307CC44C67AB8BAEC0ACFA5A18,1,SP,3505609,SP-3505609-E1A757307CC44C67AB8BAEC0ACFA5A18
70,SP3505906128E94E0246E4C759C90B5E8A60D054E,1,SP,3505906,SP-3505906-128E94E0246E4C759C90B5E8A60D054E
71,SP35059063498352E07994602901825B26F8E8B25,1,SP,3505906,SP-3505906-3498352E07994602901825B26F8E8B25
72,SP350590663FB67437A734824B70D2A418CA4D7B1,1,SP,3505906,SP-3505906-63FB67437A734824B70D2A418CA4D7B1
73,SP3505906A3CDA7D9C4D747B693FF043A3280ABEC,1,SP,3505906,SP-3505906-A3CDA7D9C4D747B693FF043A3280ABEC
74,SP350740790EFE642E1824570B088C1F4A437EE1B,1,SP,3507407,SP-3507407-90EFE642E1824570B088C1F4A437EE1B
75,SP3507803AB779C70D0AF4B859B99D939D8BD9BB1,0,SP,3507803,SP-3507803-AB779C70D0AF4B859B99D939D8BD9BB1
76,SP3508801049A424D41F04F768A49B506B02FC12E,1,SP,3508801,SP-3508801-049A424D41F04F768A49B506B02FC12E
77,SP3510104377F8CE220344ABE88BD975B99D6F38E,1,SP,3510104,SP-3510104-377F8CE220344ABE88BD975B99D6F38E
78,SP351010458C10946E75340A198B0001616D4A5C3,1,SP,3510104,SP-3510104-58C10946E75340A198B0001616D4A5C3
79,SP351010477729E533B1C404C887B08A33DC16D13,1,SP,3510104,SP-3510104-77729E533B1C404C887B08A33DC16D13
80,SP351010497658C75E54F4A0EBE94AE67BE3B5AE6,1,SP,3510104,SP-3510104-97658C75E54F4A0EBE94AE67BE3B5AE6
81,SP3510104C35096844F584BC6BF5A7512A2B5E11E,1,SP,3510104,SP-3510104-C35096844F584BC6BF5A7512A2B5E11E
82,SP351070810E4AD3602954083867326F1AF2D0D35,1,SP,3510708,SP-3510708-10E4AD3602954083867326F1AF2D0D35
83,SP35107085FA2AF2250644624A5FA6C6C30B6421E,1,SP,3510708,SP-3510708-5FA2AF2250644624A5FA6C6C30B6421E
84,SP3510708A66BA107230C493ABBE444F74CC29DC7,1,SP,3510708,SP-3510708-A66BA107230C493ABBE444F74CC29DC7
85,SP3512001ABCFB04321324D3694045123B5C36FA4,1,SP,3512001,SP-3512001-ABCFB04321324D3694045123B5C36FA4
86,SP3512001B40CA7237D864DDD91ACC81F01EE4046,1,SP,3512001,SP-3512001-B40CA7237D864DDD91ACC81F01EE4046
87,SP3512001F45998EAA14042DDA440DC271FF228BC,1,SP,3512001,SP-3512001-F45998EAA14042DDA440DC271FF228BC
88,SP3512100CFDC6404FFAB4537963993A6962C85E7,1,SP,3512100,SP-3512100-CFDC6404FFAB4537963993A6962C85E7
89,SP3514007222BE91BF079476580F2250AAE1F3BB0,1,SP,3514007,SP-3514007-222BE91BF079476580F2250AAE1F3BB0
90,SP351400741B07093F1B94DB7A3380A20C37647B1,1,SP,3514007,SP-3514007-41B07093F1B94DB7A3380A20C37647B1
91,SP35140076014F79CEECF4152A70B4A9F3D0D7B04,1,SP,3514007,SP-3514007-6014F79CEECF4152A70B4A9F3D0D7B04
92,SP3514007ADAAE1A8E57B468F9A4427ACB2D3C05B,1,SP,3514007,SP-3514007-ADAAE1A8E57B468F9A4427ACB2D3C05B
93,SP3514007B66C8FCCCC7E4493A5B40502B6BEC627,1,SP,3514007,SP-3514007-B66C8FCCCC7E4493A5B40502B6BEC627
94,SP3514007D09EB46840C24FC9B12F5C39C495707C,1,SP,3514007,SP-3514007-D09EB46840C24FC9B12F5C39C495707C
95,SP3514007E7EEB585005C488F838C46F48896EA36,1,SP,3514007,SP-3514007-E7EEB585005C488F838C46F48896EA36
96,SP351460111A7677D96A843A9847710F011126CE0,1,SP,3514601,SP-3514601-11A7677D96A843A9847710F011126CE0
97,SP351460128EB3D2FF85940FEAD2B28FEE6F9F9C9,1,SP,3514601,SP-3514601-28EB3D2FF85940FEAD2B28FEE6F9F9C9
98,SP35146013C881044EABE4F209A7052691E20E71B,1,SP,3514601,SP-3514601-3C881044EABE4F209A7052691E20E71B
99,SP351460150F1E7D07C8A47EEA0224061C7C75633,1,SP,3514601,SP-3514601-50F1E7D07C8A47EEA0224061C7C75633
100,SP351460165960BB5254E4C489F5BCCC097215BDF,1,SP,3514601,SP-3514601-65960BB5254E4C489F5BCCC097215BDF
101,SP3515509C7C684841DAF47F99CA5F2581F1B7686,0,SP,3515509,SP-3515509-C7C684841DAF47F99CA5F2581F1B7686
102,SP3516705D172E84823AC41D7935E90B9C2399E71,1,SP,3516705,SP-3516705-D172E84823AC41D7935E90B9C2399E71
103,SP351690346B9F7F777814136AB9E934BE01CA954,1,SP,3516903,SP-3516903-46B9F7F777814136AB9E934BE01CA954
104,SP3516903E553F74759184A408C25C1C44579A069,1,SP,3516903,SP-3516903-E553F74759184A408C25C1C44579A069
105,SP3516903FA93C63E78DE451DB306ECF3A96097EE,1,SP,3516903,SP-3516903-FA93C63E78DE451DB306ECF3A96097EE
106,SP3517307CC37671B36FE4C1EBC503B710CFB5E24,0,SP,3517307,SP-3517307-CC37671B36FE4C1EBC503B710CFB5E24
107,SP351860206C22ADABA4C42D9A7D0E3130F943869,1,SP,3518602,SP-3518602-06C22ADABA4C42D9A7D0E3130F943869
108,SP35186020CC4119656A942638E45063A331FAB12,1,SP,3518602,SP-3518602-0CC4119656A942638E45063A331FAB12
109,SP351860213E023457C2F457399F52D079765D755,1,SP,3518602,SP-3518602-13E023457C2F457399F52D079765D755
110,SP3518602185E28DE21774F5D8C4F3C06A85D662F,1,SP,3518602,SP-3518602-185E28DE21774F5D8C4F3C06A85D662F
111,SP351860257FFF6E3A38B47B3979ED422D9637683,1,SP,3518602,SP-3518602-57FFF6E3A38B47B3979ED422D9637683
112,SP3518602748DAA41686A4614B52CDBC091FC1C00,1,SP,3518602,SP-3518602-748DAA41686A4614B52CDBC091FC1C00
113,SP351860281734FC125D7481A88B862DF1D04DE15,1,SP,3518602,SP-3518602-81734FC125D7481A88B862DF1D04DE15
114,SP351860286BC2C7EFEF146E29C8674243E2C4D9A,1,SP,3518602,SP-3518602-86BC2C7EFEF146E29C8674243E2C4D9A
115,SP35186028B3A6161519A44FEA5303BA48F4D1A7B,1,SP,3518602,SP-3518602-8B3A6161519A44FEA5303BA48F4D1A7B
116,SP3518602A6B30ADC4EE04E9EAA0925E2AA6DE956,1,SP,3518602,SP-3518602-A6B30ADC4EE04E9EAA0925E2AA6DE956
117,SP3518602B2BFA7CDA05E48F7A1DF16D619FBAB6E,1,SP,3518602,SP-3518602-B2BFA7CDA05E48F7A1DF16D619FBAB6E
118,SP3518602B5EAD3959D3B4FD18C7171A20CC2F4C8,1,SP,3518602,SP-3518602-B5EAD3959D3B4FD18C7171A20CC2F4C8
119,SP3518602F476144FD55E4A22B9A170593786DC8F,1,SP,3518602,SP-3518602-F476144FD55E4A22B9A170593786DC8F
120,SP351885905F456F5BD38465882CB19787169FB6E,1,SP,3518859,SP-3518859-05F456F5BD38465882CB19787169FB6E
121,SP3518859123CD3E71ECC4BAF8A2E27738F887E9F,1,SP,3518859,SP-3518859-123CD3E71ECC4BAF8A2E27738F887E9F
122,SP35188591DDF17CEADEE4E7F8153DCAC390A35B3,1,SP,3518859,SP-3518859-1DDF17CEADEE4E7F8153DCAC390A35B3
123,SP3518859216C7B066099483CB2FAD17A367CEAA7,1,SP,3518859,SP-3518859-216C7B066099483CB2FAD17A367CEAA7
124,SP35188592CC0655497324CDBAAF3DFC4A8FD3C84,1,SP,3518859,SP-3518859-2CC0655497324CDBAAF3DFC4A8FD3C84
125,SP351885939DAF5C2AED9479F966E93B09D49137F,1,SP,3518859,SP-3518859-39DAF5C2AED9479F966E93B09D49137F
126,SP351885940FA7CD0173340A1BB2183E96B33BA8C,1,SP,3518859,SP-3518859-40FA7CD0173340A1BB2183E96B33BA8C
127,SP3518859487DC9F0B62A4E3AA04962A5C6255E58,1,SP,3518859,SP-3518859-487DC9F0B62A4E3AA04962A5C6255E58
128,SP35188594DC2AB2E064745429BF150545D603929,1,SP,3518859,SP-3518859-4DC2AB2E064745429BF150545D603929
129,SP3518859515A2A8DA1594C9FA3D1301F604E2180,1,SP,3518859,SP-3518859-515A2A8DA1594C9FA3D1301F604E2180
130,SP351885963240DD62B4340F59C1CA01E56BBD34B,1,SP,3518859,SP-3518859-63240DD62B4340F59C1CA01E56BBD34B
131,SP351885979F3C0F51F2949C18F45E39C95F6647F,1,SP,3518859,SP-3518859-79F3C0F51F2949C18F45E39C95F6647F
132,SP35188597D381DCC6F3449F7800FDD96E8234550,1,SP,3518859,SP-3518859-7D381DCC6F3449F7800FDD96E8234550
133,SP35188597E2BE5944F304374A861244B20698E2D,1,SP,3518859,SP-3518859-7E2BE5944F304374A861244B20698E2D
134,SP35188598A96EC4CE17842399A112E8FCEFBB6E8,1,SP,3518859,SP-3518859-8A96EC4CE17842399A112E8FCEFBB6E8
135,SP3518859904F22DAB9734AA98635CDEB837323B3,1,SP,3518859,SP-3518859-904F22DAB9734AA98635CDEB837323B3
136,SP351885995CAD07E72B6475DB4D024D9E43A084F,1,SP,3518859,SP-3518859-95CAD07E72B6475DB4D024D9E43A084F
137,SP3518859A6AC5ABFAD71447FB13B415EEF6CDF9E,1,SP,3518859,SP-3518859-A6AC5ABFAD71447FB13B415EEF6CDF9E
138,SP3518859AA397B5B63984F61A7DB27D65A3450B3,1,SP,3518859,SP-3518859-AA397B5B63984F61A7DB27D65A3450B3
139,SP3518859B00060CF482549A38CEBDCE155BFCFC5,1,SP,3518859,SP-3518859-B00060CF482549A38CEBDCE155BFCFC5
140,SP3518859BA4B12F49A9F4789BE188A9C4C606E29,1,SP,3518859,SP-3518859-BA4B12F49A9F4789BE188A9C4C606E29
141,SP3518859C30CA2E8307149A7AC958FD8EE95DA3C,1,SP,3518859,SP-3518859-C30CA2E8307149A7AC958FD8EE95DA3C
142,SP3518859D24271E6B4814C5F81B49C7DF61ADFFE,1,SP,3518859,SP-3518859-D24271E6B4814C5F81B49C7DF61ADFFE
143,SP3518859D91087634F12449E86217CD11A2E76D1,1,SP,3518859,SP-3518859-D91087634F12449E86217CD11A2E76D1
144,SP3518859DF058D4DC816422BB4C136AA5F0D7220,1,SP,3518859,SP-3518859-DF058D4DC816422BB4C136AA5F0D7220
145,SP3518859F1BF40C87ABF4C1AAC8668620BF8F989,1,SP,3518859,SP-3518859-F1BF40C87ABF4C1AAC8668620BF8F989
146,SP3518859F2133028186248B882576FF21A649C22,1,SP,3518859,SP-3518859-F2133028186248B882576FF21A649C22
147,SP3518859F768F62373EA4D16AFF0139B86CDECDD,1,SP,3518859,SP-3518859-F768F62373EA4D16AFF0139B86CDECDD
148,SP351960035F8AEF4485A45ED8BA6472ACEB7948C,1,SP,3519600,SP-3519600-35F8AEF4485A45ED8BA6472ACEB7948C
149,SP3519600CD6CD35D57494FB49DA451124DE88B0C,1,SP,3519600,SP-3519600-CD6CD35D57494FB49DA451124DE88B0C
150,SP3521507DD88BC93CC7D40E29BFD85C8B3086F3E,1,SP,3521507,SP-3521507-DD88BC93CC7D40E29BFD85C8B3086F3E
151,SP352190376C1E7D3340547CBA5822B0C071BA51E,1,SP,3521903,SP-3521903-76C1E7D3340547CBA5822B0C071BA51E
152,SP3521903B5C1D5D919494A468180C84FE4B26CC7,1,SP,3521903,SP-3521903-B5C1D5D919494A468180C84FE4B26CC7
153,SP3521903BA9A0D49AD1E4F8E90188416817A5DC2,1,SP,3521903,SP-3521903-BA9A0D49AD1E4F8E90188416817A5DC2
154,SP3521903E00526DDA4BA4D31BF90F8449B7E9941,1,SP,3521903,SP-3521903-E00526DDA4BA4D31BF90F8449B7E9941
155,SP3521903E107AA621BC84815B6EED997D01010E8,1,SP,3521903,SP-3521903-E107AA621BC84815B6EED997D01010E8
156,SP35227034744A99A90614109A09FBA291D6A206A,1,SP,3522703,SP-3522703-4744A99A90614109A09FBA291D6A206A
157,SP35227035B3C40EA6C7F471A8B83DDFF632D1FB6,1,SP,3522703,SP-3522703-5B3C40EA6C7F471A8B83DDFF632D1FB6
