"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Outras Lavouras Temporarias","Silvicultura","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Fomacao Campestre","Pastagem","Area Urbanizada","Rio, Lago e Oceano","Outras Areas nao Vegetadas","Outras Lavouras Perenes","Afloramento"
"84","SP-3553708-49A3269AAE35408995F4486D1409FA51","SP",3553708,"2020",31.71,0,0,25.84,2.71,0,0,0,3.16,0,0,0,0,0,0,0,0,0
"85","SP-3553708-4D4F4BD089884FD8A4758EBA38D34892","SP",3553708,"2020",25.28,1.84,0,0.44,22.01,0,0,1,0,0,0,0,0,0,0,0,0,0
"86","SP-3553708-522501587CD0421493464ECA36E4D84A","SP",3553708,"2020",222.63,4.77,0,187.34,21.47,1.58,0,2.36,3.16,0,0,0,0,0,1.08,0.87,0,0
"87","SP-3553708-57B0C9FFD15243E1AE7E4E422B59A16E","SP",3553708,"2020",55.4,1.44,0,51.02,1.68,0,0,1.26,0,0,0,0,0,0,0,0,0,0
"88","SP-3553708-5DC28721E7B04CEBB4175DC5087BF35C","SP",3553708,"2020",74.1,5.61,0,50.86,10.28,0,0,0,1.08,0,0,0,6.27,0,0,0,0,0
"89","SP-3553708-5E108273477444EF9128DBEC6D97197D","SP",3553708,"2020",91.96,2.05,0,50.9,29.35,0,0,0,5.07,0,0,0,4.59,0,0,0,0,0
"90","SP-3553708-5F2E87B8ABE847618C1AF8E982479ED6","SP",3553708,"2020",51.87,2.12,0,46.59,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","SP-3553708-625354A6D1C147BBAA351A2653D2A5C3","SP",3553708,"2020",44.76,4.64,0,0,36.76,0,0,0,0,0,0,0,3.36,0,0,0,0,0
"92","SP-3553708-63B9D7B6A988411A8A8F3BA1744F0F60","SP",3553708,"2020",55.53,0,0,46.26,4.78,0,0,0,4.49,0,0,0,0,0,0,0,0,0
"93","SP-3553708-641F8D880A6B4EE6B9640F07EEC9E7BB","SP",3553708,"2020",68.07,3.85,0,54.57,7.65,0.06,0,1.67,0.24,0,0,0,0.02,0,0,0,0,0
"94","SP-3553708-698776D9448F42078AAEB1C6B3D2504A","SP",3553708,"2020",99.46,12.46,0,13.58,73.42,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","SP-3553708-698EB422A8304A3BBB200E882CD4E989","SP",3553708,"2020",26.62,3.02,0,19.46,3.52,0.01,0,0.62,0,0,0,0,0,0,0,0,0,0
"96","SP-3553708-6B4E5206FDA74D9CBFA961CFF31B2F04","SP",3553708,"2020",41.63,0.05,0,41.22,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","SP-3553708-6E81B98218E0424585F91CBD1C2640B7","SP",3553708,"2020",111.59,24.69,0,65.02,18.71,0,0,0,2.59,0,0,0,0.58,0,0,0,0,0
"98","SP-3553708-717729B507BA42D2BEF1919C06A84931","SP",3553708,"2020",40.88,3.47,0,0.58,23.75,9.08,0,0,3.17,0,0,0,0.83,0,0,0,0,0
"99","SP-3553708-75EB43DF11594E7A96F4561A8FDDABB7","SP",3553708,"2020",281.97,24.47,0,201.46,47.11,0,0,3.93,4.09,0,0,0,0.92,0,0,0,0,0
"100","SP-3553708-7653BD924236459B8C47BC58F98EFCE5","SP",3553708,"2020",56.4,21.23,0,29.09,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","SP-3553708-76A7B4F9D99549C78E7AC67B53BB2B3C","SP",3553708,"2020",15.9,1.4,0,12.65,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","SP-3553708-7AFAC93FC67E4174A523FD5E935CEACA","SP",3553708,"2020",53.79,2.77,0,45.59,3.71,0,0,0.64,1.08,0,0,0,0,0,0,0,0,0
"103","SP-3553708-7D52337EDE6547CCBB4D3C1265DACB2A","SP",3553708,"2020",128.16,17.66,0,88.04,17.46,1.17,0,0,0.58,3.25,0,0,0,0,0,0,0,0
"104","SP-3553708-7FE74DBE05434D2AAC66BB501684048D","SP",3553708,"2020",25.61,0.57,0,17.35,6.7,0,0,0,1,0,0,0,0,0,0,0,0,0
"105","SP-3553708-8AD9E86E75D84315AE9FED048812FC8B","SP",3553708,"2020",27.37,8.16,0,15.67,3.2,0,0,0.34,0,0,0,0,0,0,0,0,0,0
"106","SP-3553708-91969BC01A48412787C2C5625EEB6D11","SP",3553708,"2020",42.26,2.1,0,39.18,0.98,0,0,0,0,0,0,0,0,0,0,0.01,0,0
"107","SP-3553708-92A63A0F23334E10B312AEA000572D36","SP",3553708,"2020",65.86,6.81,0,28.68,19.43,0.01,0,0,10.84,0,0,0,0.09,0,0,0,0,0
"108","SP-3553708-943E0C267F964F54AADC0BC1416CFC51","SP",3553708,"2020",227.16,4.58,0,193.09,28.15,0.01,0,1.33,0,0,0,0,0,0,0,0,0,0
"109","SP-3553708-9532B608710B440F82A6945FB640B3C8","SP",3553708,"2020",113.68,3.61,0,91.81,11.13,2.58,0,0.55,2.17,0,0,0,1.83,0,0,0,0,0
"110","SP-3553708-956D327273BE4502890E643A62057863","SP",3553708,"2020",106.77,0.17,0,87.12,17.3,0.23,0,0.85,0.36,0,0,0,0.75,0,0,0,0,0
"111","SP-3553708-961C4C023C78407B9A4EE1ABFB57BAB0","SP",3553708,"2020",27.04,1,0,25.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","SP-3553708-9DC8985142A648019A6BDC3360DAAFC4","SP",3553708,"2020",27.81,0.96,0,22.54,2.06,0,0,0,2.25,0,0,0,0,0,0,0,0,0
"113","SP-3553708-9E3FDF045ABD4CB9A9071E2DD3FE81D5","SP",3553708,"2020",133.88,17.95,0,95.34,18.24,0,0,0.83,0,0,0,0,1.5,0,0,0.01,0,0
"114","SP-3553708-9F44D94F5C9C43FF95D95829823A8659","SP",3553708,"2020",12.09,0.31,0,11.31,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","SP-3553708-A30BD8178E844312998C630E9F4D1A30","SP",3553708,"2020",29.76,4.61,0,6.78,18.37,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","SP-3553708-A5F673725E0E431C9E43B22FEB045E2C","SP",3553708,"2020",55.91,3.47,0,45.17,7.12,0,0,0.15,0,0,0,0,0,0,0,0,0,0
"117","SP-3553708-A683C1419B744985B282D80959EA1326","SP",3553708,"2020",73.47,2.5,0,64.4,3.74,0,0,0,2.83,0,0,0,0,0,0,0,0,0
"118","SP-3553708-A6B57DD155A84AA5819D41E870D13D1A","SP",3553708,"2020",28.37,0.3,0,15.65,10.76,0,0,1.17,0,0.5,0,0,0,0,0,0,0,0
"119","SP-3553708-A9D6B4F756BB45919EA7C9756FFB254D","SP",3553708,"2020",34.5,0.42,0,33.21,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","SP-3553708-AA34AC59851D4B71BE2127B0FDFAF724","SP",3553708,"2020",34.28,0,0,34.25,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","SP-3553708-AA3E7655C01A41699C9164A87DD1644A","SP",3553708,"2020",43.32,4,0,30.08,9.22,0,0,0,0,0,0,0,0.02,0,0,0,0,0
"122","SP-3553708-AEB716FA958445A28AEED88BC5A58BC7","SP",3553708,"2020",65.96,3.14,0,54.56,8.08,0.18,0,0,0,0,0,0,0,0,0,0,0,0
"123","SP-3553708-AFDBC8C90F67414281CCC0A811177C53","SP",3553708,"2020",24.17,3.99,0,16.32,1.67,0.92,0,0.53,0,0,0,0,0,0,0,0,0.75,0
"124","SP-3553708-B293A84CD7214658B7E556112DD90B1C","SP",3553708,"2020",20.34,0,0,20.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","SP-3553708-B30E6113597D48EA8EBCA56924CD630C","SP",3553708,"2020",75.77,5.72,0,0.92,69.12,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","SP-3553708-B3B40607D9EC47B39A585035D516A560","SP",3553708,"2020",172.34,8.63,0,91.73,67.39,0,0,1.34,0,0,0,0,0,3.24,0,0,0,0
"127","SP-3553708-B6CB9C346B1A49769E52BC44C7D921DD","SP",3553708,"2020",113.32,7.06,0,94.18,11.43,0.65,0,0,0,0,0,0,0,0,0,0,0,0
"128","SP-3553708-BD3F48A4FBFE4C488F6022B9C36F7DC1","SP",3553708,"2020",50.87,0.4,0,39.46,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","SP-3553708-BDC82F5FA22145A5B94E45D353001570","SP",3553708,"2020",40.43,0,0,39.89,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","SP-3553708-C06CE73F827F49D9ABD386A80BD37FAC","SP",3553708,"2020",192.69,12.88,0,150.07,27.39,0.35,0,0.67,0.8,0,0,0,0,0.02,0,0.52,0,0
"131","SP-3553708-C19DAF28E878458584873AECBAB95F92","SP",3553708,"2020",47.11,0.91,0,41.78,1.28,0.44,0,2.69,0,0,0,0,0,0,0,0,0,0
"132","SP-3553708-C43168C278EE4E5588BFE11627AA1D22","SP",3553708,"2020",251.22,12.89,0,121.96,86.45,0.11,0,4.5,17.66,0,0,0,7.25,0,0,0.38,0,0
"133","SP-3553708-CEA2E53369BC456C8C2A5FEE5AC464BC","SP",3553708,"2020",28.34,1.96,0,12.88,13.47,0,0,0.04,0,0,0,0,0,0,0,0,0,0
"134","SP-3553708-CEBE99BFF56943DF85D47B4BCC07F697","SP",3553708,"2020",24.22,1.68,0,18.76,1.24,0.08,0,2.41,0.04,0,0,0,0,0,0,0,0,0
